Valdeltagande bland förstagångsväljare i valet till kommunfullmäktige;;;;;
Sjöbo kommun;77;70;64;;
Skara kommun;80;69;68;;
Skellefteå kommun;77;75;71;;
Skinnskattebergs kommun;81;75;76;;
Skurups kommun;77;0;66;;
Skövde kommun;80;74;0;;
Smedjebackens kommun;76;70;71;;
Sollefteå kommun;71;72;59;;
Sollentuna kommun;77;76;78;;
Solna stad;80;0;0;;
Sorsele kommun;57;0;55;;
Sotenäs kommun;73;75;68;;
Staffanstorps kommun;82;0;76;;
Stenungsunds kommun;0;50;69;;
Stockholms stad;79;78;74;;
Storfors kommun;70;70;64;;
Storumans kommun;64;60;55;;
Strängnäs kommun;0;52;69;;
Strömstads kommun;70;64;57;;
Strömsunds kommun;69;67;59;;
Sundbybergs stad;78;73;71;;
Sundsvalls kommun;76;74;64;;
Sunne kommun;77;0;68;;
Surahammars kommun;72;76;60;;
Svalövs kommun;81;74;71;;
Svedala kommun;79;80;73;;
Svenljunga kommun;94;73;64;;
Säffle kommun;71;66;67;;
Säters kommun;76;69;0;;
Sävsjö kommun;81;80;79;;
Söderhamns kommun;67;0;0;;
Söderköpings kommun;82;73;69;;
Södertälje kommun;67;67;63;;
Sölvesborgs kommun;80;78;71;;
Tanums kommun;74;0;67;;
Tibro kommun;82;76;0;;
Tidaholms kommun;77;77;73;;
Tierps kommun;76;74;68;;
Timrå kommun;75;74;69;;
Tingsryds kommun;73;0;66;;
Tjörns kommun;81;75;75;;
Tomelilla kommun;77;0;67;;
Torsby kommun;68;64;59;;
Torsås kommun;83;75;73;;
Tranemo kommun;0;74;0;;
Tranås kommun;80;68;68;;
Trelleborgs kommun;72;85;69;;
Trollhättans stad;77;75;78;;
Trosa kommun;80;74;70;;
Tyresö kommun;81;79;0;;
Täby kommun;86;84;0;;
Töreboda kommun;77;70;69;;
Uddevalla kommun;77;74;67;;
Ulricehamns kommun;78;72;75;;
Umeå kommun;81;77;71;;
Upplands Väsby kommun;75;73;66;;
Upplands-Bro kommun;79;0;74;;
Uppsala kommun;83;79;79;;
Uppvidinge kommun;75;0;64;;
Vadstena kommun;0;76;71;;
Vaggeryds kommun;75;77;73;;
Valdemarsviks kommun;75;72;69;;
Vallentuna kommun;81;81;74;;
Vansbro kommun;0;74;71;;
Vara kommun;77;82;73;;
Varbergs kommun;80;78;72;;
Vaxholms stad;81;73;77;;
Vellinge kommun;84;82;0;;
Vetlanda kommun;77;74;70;;
Vilhelmina kommun;73;0;69;;
Vimmerby kommun;75;74;65;;
Vindelns kommun;75;73;57;;
Vingåkers kommun;75;74;93;;
Vårgårda kommun;80;74;74;;
Vänersborgs kommun;78;74;69;;
Vännäs kommun;79;74;71;;
Värmdö kommun;81;76;74;;
Värnamo kommun;84;73;71;;
Västerviks kommun;74;67;0;;
Västerås stad;78;74;0;;
Växjö kommun;80;80;72;;
Ydre kommun;80;83;76;;
Ystads kommun;77;0;72;;
Åmåls kommun;69;83;69;;
Ånge kommun;70;71;61;;
Åre kommun;78;71;61;;
Årjängs kommun;74;63;58;;
Åsele kommun;66;73;69;;
Åstorps kommun;0;67;62;;
Åtvidabergs kommun;77;77;70;;
Älmhults kommun;80;75;0;;
Älvdalens kommun;75;66;60;;
Älvkarleby kommun;77;63;69;;
Älvsbyns kommun;0;78;77;;
Ängelholms kommun;79;75;72;;
Öckerö kommun;87;80;79;;
Ödeshögs kommun;76;72;73;;
Örebro kommun;81;76;70;;
Örkelljunga kommun;82;70;69;;
Örnsköldsviks kommun;75;0;65;;
Östersunds kommun;73;71;64;;
Österåkers kommun;83;79;74;;
Östhammars kommun;73;0;83;;
Östra Göinge kommun;78;73;69;;
Överkalix kommun;75;0;44;;
Övertorneå kommun;65;57;62;;
